replicate,draw,axis,bin_left,regrowth_fraction
rep2,2,x,35.0,0.0010482180293501049
rep2,2,x,40.0,0.0041928721174004195
rep2,2,x,45.0,0.0020964360587002098
rep2,2,y,0.0,0.0031446540880503146
rep2,2,y,5.0,0.009433962264150943
rep2,2,y,10.0,0.0041928721174004195
rep2,2,y,15.0,0.0041928721174004195
rep2,2,y,20.0,0.007337526205450734
rep2,2,y,25.0,0.006289308176100629
rep2,2,y,30.0,0.008385744234800839
rep2,2,y,35.0,0.0041928721174004195
rep2,2,y,40.0,0.009433962264150943
rep2,2,y,45.0,0.007337526205450734
rep2,3,x,0.0,0.0010482180293501049
rep2,3,x,5.0,0.009433962264150943
rep2,3,x,10.0,0.0041928721174004195
rep2,3,x,15.0,0.008385744234800839
rep2,3,x,20.0,0.008385744234800839
rep2,3,x,25.0,0.006289308176100629
rep2,3,x,30.0,0.005241090146750524
rep2,3,x,35.0,0.007337526205450734
rep2,3,x,40.0,0.007337526205450734
rep2,3,x,45.0,0.006289308176100629
rep2,3,y,0.0,0.006289308176100629
rep2,3,y,5.0,0.0041928721174004195
rep2,3,y,10.0,0.005241090146750524
rep2,3,y,15.0,0.006289308176100629
rep2,3,y,20.0,0.010482180293501049
rep2,3,y,25.0,0.005241090146750524
rep2,3,y,30.0,0.0031446540880503146
rep2,3,y,35.0,0.007337526205450734
rep2,3,y,40.0,0.008385744234800839
rep2,3,y,45.0,0.007337526205450734
rep3,1,x,0.0,0.0020964360587002098
rep3,1,x,5.0,0.0006988120195667365
rep3,1,x,10.0,0.002795248078266946
rep3,1,x,15.0,0.0020964360587002098
rep3,1,x,20.0,0.0006988120195667365
rep3,1,x,25.0,0.0020964360587002098
rep3,1,x,30.0,0.0
rep3,1,x,35.0,0.0034940600978336828
rep3,1,x,40.0,0.0006988120195667365
rep3,1,x,45.0,0.001397624039133473
rep3,1,y,0.0,0.0020964360587002098
rep3,1,y,5.0,0.001397624039133473
rep3,1,y,10.0,0.0020964360587002098
rep3,1,y,15.0,0.002795248078266946
rep3,1,y,20.0,0.0
rep3,1,y,25.0,0.001397624039133473
rep3,1,y,30.0,0.001397624039133473
rep3,1,y,35.0,0.0006988120195667365
rep3,1,y,40.0,0.001397624039133473
rep3,1,y,45.0,0.002795248078266946
rep3,2,x,0.0,0.0
rep3,2,x,5.0,0.001397624039133473
rep3,2,x,10.0,0.002795248078266946
rep3,2,x,15.0,0.0020964360587002098
rep3,2,x,20.0,0.0006988120195667365
rep3,2,x,25.0,0.0041928721174004195
rep3,2,x,30.0,0.0006988120195667365
rep3,2,x,35.0,0.0006988120195667365
rep3,2,x,40.0,0.002795248078266946
rep3,2,x,45.0,0.0006988120195667365
rep3,2,y,0.0,0.0
rep3,2,y,5.0,0.002795248078266946
rep3,2,y,10.0,0.002795248078266946
rep3,2,y,15.0,0.0020964360587002098
rep3,2,y,20.0,0.0020964360587002098
rep3,2,y,25.0,0.001397624039133473
rep3,2,y,30.0,0.001397624039133473
rep3,2,y,35.0,0.0006988120195667365
rep3,2,y,40.0,0.0006988120195667365
rep3,2,y,45.0,0.0020964360587002098
rep3,3,x,0.0,0.0020964360587002098
rep3,3,x,5.0,0.0
rep3,3,x,10.0,0.0
rep3,3,x,15.0,0.0034940600978336828
rep3,3,x,20.0,0.0020964360587002098
rep3,3,x,25.0,0.0006988120195667365
rep3,3,x,30.0,0.0020964360587002098
rep3,3,x,35.0,0.0006988120195667365
rep3,3,x,40.0,0.002795248078266946
rep3,3,x,45.0,0.0020964360587002098
rep3,3,y,0.0,0.0006988120195667365
rep3,3,y,5.0,0.0006988120195667365
rep3,3,y,10.0,0.0006988120195667365
rep3,3,y,15.0,0.001397624039133473
rep3,3,y,20.0,0.002795248078266946
rep3,3,y,25.0,0.0020964360587002098
rep3,3,y,30.0,0.001397624039133473
rep3,3,y,35.0,0.001397624039133473
rep3,3,y,40.0,0.001397624039133473
rep3,3,y,45.0,0.0034940600978336828
